type,length,wingspan,spanxlength
A10,16.26,17.53,16.895000000000003
A400M,45.1,42.4,43.75
AG600,36.9,38.8,37.849999999999994
AV8B,14.12,9.25,11.684999999999999
B1,45.0,42.0,43.5
B2,21.0,52.4,36.7
B52,48.5,56.4,52.45
Be200,32.0,32.8,32.4
C130,29.79,40.41,35.099999999999994
C17,53.0,51.755,52.3775
C2,43.9,44.4,44.15
C5,75.31,67.89,71.6
E2,17.596,24.56,21.078
E7,33.6,35.8,34.7
EF2000,15.96,10.95,13.455
F117,20.09,13.21,16.65
F14,13.21,19.545,16.3775
F15,19.446,13.045,16.2455
F16,15.06,9.96,12.510000000000002
F18,17.1,12.3,14.700000000000001
F22,18.92,13.56,16.240000000000002
F35,15.7,11.0,13.35
F4,19.2,11.7,15.45
J20,21.2,13.01,17.105
JAS39,14.9,8.4,11.65
MQ9,11.0,20.0,15.5
Mig31,22.62,13.456,18.038
Mirage2000,14.36,9.13,11.745000000000001
P3,35.61,30.38,32.995
RQ4,14.5,39.9,27.2
Rafale,15.27,10.9,13.085
SR71,32.74,16.94,24.840000000000003
Su34,23.34,14.7,19.02
Su57,20.1,14.1,17.1
Tornado,16.72,13.91,15.315
Tu160,54.1,55.7,54.900000000000006
Tu95,46.2,50.1,48.150000000000006
U2,19.2,31.0,25.1
US2,33.46,33.15,33.305
V22,17.48,13.97,15.725000000000001
Vulcan,29.59,30.3,29.945
XB70,56.39,32.0,44.195
YF23,20.55,13.28,16.915
